qID,length_of_longest_word
1,6
3,10
5,10
7,8
9,8
11,9
13,6
15,9
17,7
19,9
21,10
23,8
25,7
27,10
29,11
31,13
33,12
35,7
37,9
39,11
41,7
43,7
45,9
47,4
49,7
51,9
53,11
55,10
57,6
59,7
61,6
63,7
65,7
67,10
69,7
71,6
73,12
75,10
77,7
79,5
81,5
83,12
85,7
87,5
89,12
91,9
93,7
95,11
97,8
99,7
101,11
103,7
105,6
107,9
109,8
111,9
113,6
115,5
117,8
119,6
121,12
123,6
125,6
127,9
129,8
131,11
133,4
135,9
137,11
139,7
141,8
143,12
145,8
147,10
149,7
151,9
153,7
155,8
157,8
159,7
161,11
163,9
165,10
167,7
169,13
171,8
173,11
175,10
177,6
179,7
181,9
183,11
185,8
187,9
189,13
191,8
193,8
195,7
197,10
199,14
201,8
203,9
205,12
207,7
209,8
211,14
213,7
215,10
217,11
219,10
221,10
223,8
225,7
227,5
229,9
231,5
233,8
235,10
237,12
239,10
241,10
243,10
245,10
247,8
249,11
251,16
253,6
255,11
257,5
259,6
261,8
263,10
265,8
267,9
269,11
271,8
273,7
275,11
277,4
279,10
281,8
283,8
285,6
287,5
289,7
291,9
293,9
295,10
297,8
299,8
301,7
303,7
305,5
307,9
309,9
311,8
313,9
315,6
317,10
319,9
321,8
323,16
325,11
327,8
329,8
331,8
333,10
335,7
337,11
339,11
341,10
343,10
345,10
347,8
349,7
351,6
353,7
355,10
357,8
359,7
361,9
363,8
365,7
367,11
369,7
371,12
373,10
375,6
377,9
379,9
381,9
383,10
385,7
387,11
389,10
391,9
393,13
395,6
397,7
399,14
401,11
403,8
405,8
407,7
409,9
411,7
413,6
415,10
417,9
419,10
421,12
423,10
425,12
427,13
429,11
431,7
433,12
435,10
437,10
439,8
441,5
443,4
445,5
447,9
449,7
451,5
453,11
455,10
457,9
459,11
461,9
463,9
465,8
467,5
469,10
471,8
473,7
475,8
477,6
479,13
481,11
483,9
485,8
487,7
489,9
491,9
493,10
495,5
497,10
499,14
501,8
503,10
505,6
507,9
509,10
511,4
513,9
515,8
517,11
519,8
521,10
523,7
525,11
527,5
530,6
532,10
534,10
536,4
538,8
540,5
542,6
544,13
546,7
548,7
550,12
552,6
554,6
556,9
558,6
560,7
562,8
564,7
566,10
568,6
570,10
572,10
574,8
576,5
578,9
580,11
582,8
584,11
586,6
588,6
590,7
592,12
594,7
596,11
598,7
600,11
602,8
604,7
606,5
608,9
610,7
612,8
614,13
616,10
618,5
620,6
622,9
624,9
626,6
628,7
630,13
632,10
634,9
636,11
638,6
640,12
642,8
644,13
646,10
648,12
650,7
652,11
653,7
655,10
657,13
659,11
661,8
663,11
665,10
667,9
669,10
671,7
673,10
675,12
677,7
679,10
681,10
683,7
685,8
687,8
689,5
691,5
693,8
695,10
697,7
699,6
701,8
703,9
705,9
706,12
708,10
710,12
712,7
714,13
716,6
718,12
720,8
722,10
724,7
726,7
728,8
730,12
732,8
734,8
736,7
738,5
740,6
742,9
744,8
746,6
748,10
750,10
752,8
754,7
756,9
758,9
760,10
762,9
764,10
766,10
768,8
770,9
772,8
774,10
776,11
778,9
780,9
782,9
784,8
786,9
788,8
790,12
792,6
794,7
796,15
798,11
800,6
802,7
804,5
806,7
808,6
810,8
812,13
814,9
816,7
818,6
820,8
822,8
824,12
826,12
828,6
830,10
832,7
834,11
836,8
838,8
840,6
842,6
844,9
846,9
848,8
850,9
852,11
854,7
856,7
858,8
860,6
862,10
864,9
866,9
868,9
870,10
872,6
874,8
876,11
878,8
880,6
882,9
884,12
886,8
888,6
890,5
892,7
894,7
896,8
898,6
900,11
902,13
904,11
906,11
908,10
910,10
912,7
914,10
916,6
918,7
920,6
922,11
924,7
926,7
928,9
930,11
932,7
934,14
936,7
938,9
940,7
942,7
944,8
946,9
948,14
950,8
952,6
954,11
956,11
958,10
960,6
962,7
964,6
966,11
968,6
970,7
972,7
974,10
976,6
978,4
980,10
982,9
984,6
986,9
988,8
990,10
992,8
994,8
996,10
998,4
1000,10
1002,6
1004,12
1006,8
1008,9
1010,6
1012,11
1014,8
1016,7
1018,9
1020,9
1022,13
1024,5
1026,7
1028,7
1030,8
1032,11
1034,10
1036,9
1038,7
1040,14
1042,7
1044,7
1046,6
1048,6
1050,7
1052,10
1054,8
1056,9
1058,7
1060,11
1062,8
1064,5
1066,14
1068,7
1070,11
1072,10
1074,8
1076,9
1078,8
1080,10
1082,8
1084,10
1086,6
1088,9
1090,8
1092,8
1094,5
1096,6
1098,11
1100,10
1102,7
1104,5
1106,6
1108,9
1110,10
1112,10
1114,10
1116,10
1118,10
1120,7
1122,9
1124,7
1126,7
1128,11
1130,8
1132,9
1134,7
1136,9
1138,12
1140,11
1142,12
1144,12
1146,6
1148,8
1150,10
1152,9
1154,7
1156,8
1158,8
1160,9
1162,12
1164,8
1166,8
1168,11
1170,8
1172,13
1174,11
1176,10
1178,7
1180,9
1182,8
1184,6
1186,11
1188,4
1190,8
1192,7
1194,8
1196,7
1198,6
1200,6
1202,8
1204,10
1206,7
1208,12
1210,10
1212,8
1214,5
1216,12
1218,9
1220,10
1222,7
1224,7
1226,8
1228,9
1230,9
1232,9
1234,9
1236,8
1238,9
1240,10
1242,4
1244,7
1246,7
1248,7
1250,10
1252,8
1254,6
1256,8
1258,8
1260,12
1262,11
1264,10
1266,9
1268,4
1270,11
1272,10
1274,9
1276,10
1278,11
1280,8
1282,12
1284,11
1286,7
1288,4
1290,12
1292,7
1293,4
1295,8
1297,12
1299,8
1301,10
1303,12
1305,8
1307,9
1309,7
1311,7
1313,5
1315,12
1317,11
1319,8
1321,6
1323,12
1325,6
1327,8
1329,9
1331,12
1333,10
1335,8
1337,5
1339,13
1341,11
1343,9
1345,7
1347,8
1349,12
1351,7
1353,9
1355,13
1357,9
1359,11
1361,10
1363,7
1365,11
1367,9
1369,7
1371,9
1373,6
1375,6
1377,6
1379,8
1381,9
1383,12
1385,11
1387,7
1389,7
1391,5
1393,8
1395,9
1397,7
1399,10
1401,9
1403,11
1189,6
1406,10
1408,8
1410,8
1412,11
1414,8
1416,7
1418,10
1420,11
1422,11
1424,10
1426,7
1428,6
1430,14
1432,9
1434,9
1436,12
1438,11
1440,7
1442,6
1444,9
1446,9
1448,7
1450,7
1452,6
883,9
1455,9
1457,11
1459,9
1461,9
1463,7
1465,9
1467,8
1469,13
1471,12
1473,7
1475,11
1477,13
1479,10
1481,9
1483,11
1485,9
1487,11
1489,6
1491,12
1493,9
1495,8
1497,8
1499,6
