qID,number_of_words
1,14
3,10
5,14
7,12
9,15
11,19
13,4
15,7
17,8
19,12
21,9
23,9
25,7
27,7
29,30
31,17
33,4
35,12
37,14
39,9
41,5
43,6
45,9
47,7
49,17
51,14
53,4
55,8
57,8
59,8
61,9
63,16
65,14
67,21
69,8
71,13
73,26
75,30
77,6
79,17
81,4
83,8
85,9
87,16
89,15
91,9
93,11
95,26
97,13
99,5
101,9
103,15
105,5
107,13
109,8
111,7
113,4
115,9
117,28
119,8
121,11
123,14
125,15
127,6
129,9
131,11
133,7
135,8
137,7
139,21
141,6
143,6
145,6
147,17
149,15
151,21
153,6
155,13
157,8
159,5
161,26
163,12
165,26
167,5
169,14
171,9
173,22
175,8
177,9
179,14
181,10
183,16
185,10
187,4
189,6
191,5
193,10
195,6
197,31
199,10
201,20
203,9
205,15
207,8
209,10
211,13
213,7
215,7
217,9
219,11
221,8
223,9
225,9
227,6
229,7
231,13
233,14
235,12
237,14
239,11
241,8
243,12
245,7
247,8
249,7
251,18
253,7
255,12
257,22
259,7
261,5
263,5
265,8
267,12
269,10
271,5
273,9
275,10
277,7
279,7
281,6
283,6
285,10
287,6
289,20
291,10
293,7
295,23
297,12
299,13
301,6
303,8
305,8
307,8
309,4
311,6
313,22
315,10
317,12
319,7
321,7
323,27
325,7
327,9
329,11
331,10
333,8
335,21
337,6
339,16
341,9
343,7
345,8
347,11
349,9
351,7
353,8
355,12
357,8
359,3
361,7
363,8
365,14
367,7
369,12
371,23
373,10
375,23
377,10
379,10
381,8
383,7
385,7
387,18
389,10
391,9
393,8
395,10
397,8
399,16
401,12
403,17
405,8
407,6
409,29
411,22
413,8
415,12
417,17
419,4
421,18
423,35
425,14
427,10
429,15
431,7
433,16
435,9
437,9
439,6
441,6
443,5
445,7
447,12
449,8
451,16
453,18
455,4
457,11
459,16
461,9
463,9
465,21
467,5
469,15
471,8
473,9
475,14
477,12
479,12
481,10
483,41
485,17
487,11
489,13
491,7
493,4
495,6
497,28
499,13
501,7
503,9
505,10
507,8
509,10
511,5
513,15
515,9
517,14
519,13
521,18
523,10
525,8
527,10
530,10
532,22
534,15
536,9
538,7
540,10
542,8
544,36
546,11
548,11
550,15
552,19
554,5
556,11
558,5
560,8
562,16
564,19
566,28
568,10
570,11
572,6
574,13
576,9
578,14
580,16
582,16
584,3
586,6
588,7
590,16
592,8
594,14
596,12
598,7
600,7
602,7
604,4
606,3
608,7
610,19
612,18
614,10
616,8
618,11
620,8
622,7
624,17
626,8
628,6
630,8
632,18
634,7
636,6
638,6
640,47
642,13
644,5
646,5
648,11
650,9
652,12
653,9
655,5
657,5
659,18
661,11
663,8
665,8
667,15
669,12
671,8
673,9
675,30
677,9
679,8
681,3
683,11
685,16
687,9
689,14
691,9
693,6
695,8
697,9
699,7
701,12
703,15
705,8
706,16
708,17
710,16
712,12
714,11
716,5
718,8
720,5
722,36
724,11
726,7
728,11
730,15
732,6
734,8
736,6
738,7
740,28
742,8
744,7
746,7
748,30
750,10
752,8
754,8
756,10
758,10
760,7
762,16
764,9
766,8
768,7
770,12
772,9
774,4
776,9
778,12
780,8
782,9
784,6
786,9
788,3
790,11
792,11
794,33
796,9
798,7
800,6
802,10
804,7
806,9
808,6
810,29
812,14
814,13
816,5
818,28
820,13
822,10
824,30
826,16
828,11
830,7
832,8
834,12
836,6
838,7
840,4
842,7
844,22
846,12
848,13
850,8
852,25
854,10
856,13
858,11
860,10
862,11
864,10
866,8
868,6
870,14
872,8
874,9
876,21
878,11
880,7
882,8
884,8
886,8
888,7
890,9
892,4
894,8
896,17
898,7
900,7
902,13
904,12
906,10
908,9
910,11
912,9
914,14
916,6
918,10
920,15
922,10
924,16
926,5
928,23
930,14
932,8
934,10
936,7
938,14
940,11
942,5
944,15
946,5
948,5
950,5
952,8
954,8
956,4
958,9
960,10
962,7
964,7
966,12
968,3
970,11
972,14
974,7
976,14
978,7
980,10
982,6
984,3
986,9
988,7
990,18
992,4
994,10
996,8
998,11
1000,7
1002,8
1004,9
1006,9
1008,9
1010,8
1012,9
1014,10
1016,10
1018,28
1020,14
1022,5
1024,7
1026,6
1028,12
1030,9
1032,11
1034,4
1036,34
1038,9
1040,11
1042,9
1044,10
1046,6
1048,8
1050,10
1052,12
1054,35
1056,9
1058,11
1060,23
1062,6
1064,6
1066,9
1068,24
1070,14
1072,7
1074,8
1076,18
1078,9
1080,10
1082,4
1084,18
1086,7
1088,8
1090,9
1092,7
1094,9
1096,7
1098,6
1100,17
1102,13
1104,15
1106,12
1108,8
1110,6
1112,9
1114,9
1116,6
1118,10
1120,19
1122,14
1124,6
1126,7
1128,8
1130,9
1132,17
1134,6
1136,27
1138,24
1140,10
1142,9
1144,10
1146,15
1148,10
1150,32
1152,6
1154,7
1156,7
1158,12
1160,8
1162,11
1164,12
1166,10
1168,11
1170,8
1172,23
1174,10
1176,7
1178,12
1180,6
1182,5
1184,7
1186,18
1188,9
1190,7
1192,10
1194,6
1196,18
1198,5
1200,7
1202,8
1204,7
1206,10
1208,8
1210,16
1212,14
1214,7
1216,8
1218,25
1220,23
1222,12
1224,4
1226,8
1228,11
1230,12
1232,9
1234,7
1236,6
1238,13
1240,11
1242,4
1244,12
1246,10
1248,8
1250,8
1252,8
1254,9
1256,12
1258,8
1260,15
1262,12
1264,9
1266,6
1268,7
1270,11
1272,16
1274,28
1276,22
1278,17
1280,6
1282,17
1284,7
1286,8
1288,6
1290,32
1292,7
1293,7
1295,11
1297,9
1299,16
1301,8
1303,8
1305,15
1307,14
1309,7
1311,3
1313,6
1315,9
1317,7
1319,11
1321,6
1323,10
1325,8
1327,5
1329,14
1331,10
1333,12
1335,11
1337,11
1339,18
1341,13
1343,10
1345,7
1347,15
1349,10
1351,16
1353,7
1355,6
1357,16
1359,23
1361,10
1363,15
1365,15
1367,13
1369,6
1371,11
1373,7
1375,11
1377,7
1379,6
1381,9
1383,9
1385,9
1387,9
1389,5
1391,9
1393,13
1395,13
1397,10
1399,10
1401,11
1403,10
1189,8
1406,9
1408,7
1410,5
1412,12
1414,10
1416,5
1418,9
1420,6
1422,4
1424,6
1426,4
1428,6
1430,11
1432,11
1434,9
1436,25
1438,9
1440,7
1442,8
1444,11
1446,11
1448,8
1450,9
1452,24
883,8
1455,23
1457,4
1459,18
1461,10
1463,7
1465,7
1467,8
1469,6
1471,22
1473,13
1475,13
1477,15
1479,16
1481,9
1483,14
1485,15
1487,7
1489,12
1491,19
1493,20
1495,9
1497,11
1499,9
1501,10
1503,10
1505,8
1507,8
1509,12
1511,14
1513,11
1515,12
1517,11
1519,4
1521,14
1523,36
1525,32
1527,9
1529,9
1531,7
1533,15
1535,29
1537,12
1539,10
1541,7
1543,11
1545,32
1547,6
1549,10
1551,20
1553,11
1555,13
1557,9
1559,22
1561,8
1563,19
1565,8
1567,11
1569,6
1571,21
1573,10
1575,14
1577,5
1579,16
1581,7
1583,12
1585,11
1587,10
1589,8
1591,14
1593,10
1595,14
1597,9
1599,16
1601,7
1603,9
1605,9
1607,15
1609,15
1611,8
1613,10
1615,12
1617,8
1619,4
1621,17
1623,21
1625,10
1627,24
1629,4
1631,15
1633,10
1635,6
1637,12
1639,12
1641,11
1643,11
1645,11
1647,4
1649,9
1651,13
1653,9
1655,7
1657,9
1659,7
1661,7
1663,11
1665,10
1667,8
1669,9
1671,5
1673,9
1675,12
1677,10
1679,11
1681,11
1683,26
1685,7
1687,8
1689,9
1691,6
1693,9
1695,7
1697,6
1699,13
1701,9
1703,8
1705,11
1707,10
1709,11
1711,12
1713,7
1715,13
1717,10
1719,24
1721,12
1723,18
1725,11
1727,11
1729,5
1731,24
1733,13
1735,11
1737,11
1739,12
1741,16
1743,9
1745,30
1747,6
1749,14
1751,22
1753,9
1755,15
1757,20
1759,14
1761,13
1763,10
1765,17
1767,10
1769,17
1771,7
1773,5
1775,17
1777,12
1779,14
1781,8
1783,28
1785,7
1787,12
1789,13
1791,6
1793,5
1795,18
1797,12
1799,11
1801,11
1803,10
1805,14
1807,15
1809,10
1811,5
1813,7
1815,7
1817,20
1819,6
1821,16
1823,11
1825,10
1827,7
1829,6
1831,7
1833,10
1835,23
1837,25
1839,5
1841,15
1843,7
1845,7
1847,12
1849,10
1851,12
1853,7
1855,8
1857,7
1859,24
1861,16
1863,5
1865,8
1867,10
1869,9
1871,9
1873,9
1875,9
1877,10
1879,7
1881,9
1883,7
1885,9
