qID,th3_biggest_tfidf
1,"{'guide': 8.190173521758819, 'invest': 6.890890537628558, 'step': 15.358695795985657}"
3,"{'diamond': 8.190173521758819, 'koh-i-noor': 8.190173521758819, 'kohinoor': 8.190173521758819}"
5,"{'connection': 8.190173521758819, 'speed': 6.723836452965392, 'vpn': 8.595638629866983}"
7,"{'lonely': 8.190173521758819, 'mentally': 8.190173521758819, 'solve': 7.3428756613716155}"
9,"{'di': 8.595638629866983, 'dissolve': 8.595638629866983, 'methane': 8.595638629866983, 'oxide': 8.595638629866983, 'quikly': 8.595638629866983}"
11,"{'...': 8.190173521758819, 'astrology': 8.595638629866983, 'cap': 17.191277259733965, 'capricorn': 8.190173521758819, 'rising': 8.190173521758819}"
13,"{'?': 1.0007542426504639, 'buy': 5.762425285810767, 'tiago': 8.595638629866983}"
15,"{'?': 1.0007542426504639, 'geologist': 8.190173521758819, 'good': 4.526611875629173}"
17,"{'instead': 7.209344268747093, 'し': 8.595638629866983, 'シ': 8.595638629866983}"
19,"{'3400': 8.190173521758819, 'charter': 8.595638629866983, 'dcx': 8.190173521758819, 'motorola': 8.190173521758819, 'motorolla': 8.595638629866983}"
21,"{'biprism': 8.595638629866983, 'fresnel': 8.595638629866983, 'separation': 8.595638629866983, 'slits': 8.595638629866983}"
23,"{'comments': 7.497026341198874, 'read': 6.516197088187147, 'youtube': 6.5807356093247185}"
25,"{'easy': 6.890890537628558, 'make': 4.971297696890618, 'physics': 7.091561233090709}"
27,"{'experience': 6.723836452965392, 'like': 4.509662317315399, 'sexual': 7.6793478979928285}"
29,"{'immigration': 7.497026341198874, 'laws': 15.358695795985657, 'status': 7.497026341198874}"
31,"{'current': 7.091561233090709, 'f1': 8.190173521758819, 'master': 8.190173521758819, 'presidency': 7.091561233090709}"
33,"{'does': 3.618904887446409, 'manipulation': 8.190173521758819, 'mean': 5.527585694733366}"
35,"{'girls': 6.197743357068613, 'guy': 6.197743357068613, 'reject': 8.190173521758819}"
37,"{'answered': 7.902491449307038, 'posting': 7.902491449307038, 'readily': 8.595638629866983}"
39,"{'banglore': 8.595638629866983, 'institution': 8.190173521758819, 'marketing': 7.209344268747093}"
41,"{'look': 6.5807356093247185, 'rockets': 8.190173521758819, 'white': 6.197743357068613}"
43,"{'causing': 8.595638629866983, 'jealous': 7.6793478979928285, ""what's"": 5.069278105250822}"
45,"{'ask': 5.956581300251725, 'questions': 5.792278248960448, 'quora': 4.857969011583615}"
47,"{'30': 7.6793478979928285, 'hp': 7.902491449307038, 'kv': 8.595638629866983}"
49,"{'clock': 8.190173521758819, 'look': 6.5807356093247185, 'numbers': 7.3428756613716155}"
51,"{'making': 7.091561233090709, 'medicines': 7.902491449307038, 'tips': 7.209344268747093}"
53,"{'?': 1.0007542426504639, 'application': 6.890890537628558, 'web': 6.455572466370713}"
55,"{'importance': 8.190173521758819, 'society': 7.3428756613716155, 'sports': 8.190173521758819}"
57,"{'money': 5.417584799519037, 'online': 5.651199650700543, 'way': 5.04029056837757}"
59,"{'ca': 6.803879160638928, 'final': 7.091561233090709, 'law': 6.890890537628558}"
61,"{'better': 5.5045961765086675, 'thing': 5.823049907627202, ""what's"": 5.069278105250822}"
63,"{'cares': 8.595638629866983, 'nose': 7.497026341198874, 'stuffy': 7.6793478979928285}"
65,"{'mercy': 8.190173521758819, 'thrones': 7.6793478979928285, 'villain': 7.902491449307038}"
67,"{'blacklist': 8.595638629866983, 'employment': 8.595638629866983, 'states': 13.781781075257117, 'united': 13.607758321277856}"
69,"{'spain': 7.6793478979928285, 'travel': 6.153291594497779, 'website': 6.293053536872938}"
71,"{'away': 7.209344268747093, 'guns': 8.190173521758819, 'obama': 7.497026341198874}"
73,"{'19': 8.190173521758819, 'entrepreneur': 8.595638629866983, 'year-old': 7.902491449307038}"
75,"{'""': 9.555852607820157, 'asks': 7.902491449307038, 'reply': 8.595638629866983}"
77,"{'?': 1.0007542426504639, 'prepare': 5.792278248960448, 'upsc': 8.595638629866983}"
79,"{'aoa': 8.595638629866983, 'stall': 8.595638629866983, 'swept': 8.595638629866983}"
81,"{'?': 1.0007542426504639, 'slavs': 8.595638629866983, 'squat': 8.595638629866983}"
83,"{'cognizant': 7.902491449307038, 'confirmation': 8.190173521758819, 'mail': 7.6793478979928285}"
85,"{'50,000': 8.595638629866983, 'month': 6.803879160638928, 'trading': 7.497026341198874}"
87,"{'kid': 7.497026341198874, 'rebel': 8.595638629866983, 'worth': 7.091561233090709}"
89,"{'grads': 6.986200717432883, 'recruit': 6.986200717432883, 'rexnord': 8.595638629866983}"
91,"{'followers': 7.3428756613716155, 'increase': 6.344346831260488, 'quickest': 8.595638629866983}"
93,"{'darth': 15.804982898614076, 'fought': 8.595638629866983, 'vader': 8.595638629866983}"
95,"{'breaking': 16.380347043517638, 'emotionally': 7.6793478979928285, 'stages': 8.595638629866983}"
97,"{'crude': 8.190173521758819, 'oil': 6.890890537628558, 'products': 6.723836452965392}"
99,"{'.': 3.895158264074567, 'friends': 6.069909985558728, 'make': 4.971297696890618}"
101,"{'grade': 7.902491449307038, 'launcher': 8.190173521758819, 'rbi': 7.6793478979928285}"
103,"{'blu': 8.190173521758819, 'dvd': 7.902491449307038, 'ray': 8.190173521758819}"
105,"{'?': 1.0007542426504639, 'nd': 8.595638629866983, 'sad': 7.902491449307038}"
107,"{'eaten': 7.902491449307038, 'memorable': 8.595638629866983, ""you've"": 6.516197088187147}"
109,"{'affects': 8.595638629866983, 'cas': 8.595638629866983, 'officers': 8.595638629866983}"
111,"{'?': 1.0007542426504639, 'difficult': 7.6793478979928285, 'rsi': 8.190173521758819}"
113,"{'?': 1.0007542426504639, 'friend': 6.2442633727035055, 'israil': 8.595638629866983}"
115,"{'dance': 8.595638629866983, 'rap': 7.902491449307038, 'songs': 6.64972848081167}"
117,"{'alive': 8.595638629866983, 'gmail': 13.972401434865766, 'logged': 8.190173521758819, 'realized': 8.190173521758819}"
119,"{'french': 7.902491449307038, 'learn': 4.932076983737337, 'ways': 5.705266871970818}"
121,"{'kickass': 8.190173521758819, 'registration': 8.190173521758819, 'torrent': 7.6793478979928285}"
123,"{'dark': 7.209344268747093, 'eye': 7.209344268747093, 'iris': 8.190173521758819, 'normal': 7.209344268747093, 'ring': 8.190173521758819}"
125,"{""'"": 11.709597211883565, 'harry': 15.358695795985657, 'potter': 15.804982898614076}"
127,"{'?': 1.0007542426504639, 'depressed': 8.190173521758819}"
129,"{'database': 7.902491449307038, 'european': 6.890890537628558, 'office': 7.3428756613716155}"
131,"{'java': 12.911144932741426, 'language': 5.762425285810767, 'programming': 11.775176857529546}"
133,"{'?': 1.0007542426504639, 'best': 3.462785703046478, 'book': 5.823049907627202}"
135,"{'lightning': 8.190173521758819, 'produced': 7.902491449307038, 'store': 7.3428756613716155}"
137,"{'performance': 8.190173521758819, 'review': 6.455572466370713, 'testing': 7.902491449307038}"
